row;referenced_author;referenced_author_id;referenced_work_id;referenced_source_id
1465;Chadwick, Whitney;31271;41310;0
1466;Ecker, Gisela;31272;41311;0
1467;Parker, Roszika;31266;41304;0
1468;Pollock, Griselda;31267;41304;0
1469;Weedon, Chris;31273;41312;0
1470;Moi, Toril;31264;41302;0
1471;Tickner, Lisa;31274;41313;0
1472;Tolstaya, Tatyana;31275;41314;60406
1473;Michgelsen, Pauline;31276;41315;60407
1474;Parker, Roszika;31266;41304;0
1475;Pollock, Griselda;31267;41304;0
1476;Pollock, Griselda;31267;41316;60408
1477;Alpern Engel, Barbara;31277;41317;0
1478;Goncharova, Natalya;31278;41318;60409
1479;Pollock, Griselda;31267;41319;0
1480;Vachtova, Ludmilla;31279;41320;60410
1481;Hilton, Alison;31280;41321;60411
1482;Sobko, N.P.;31281;41322;0
1483;Alchuk, Anna;31282;41323;60407
1484;du Plessix Gray, Francine;31283;41324;0
1485;Khanga, Yelena;31284;41325;60412
1486;Nochlin, Linda;30308;41326;60272
1487;Gimenez, Martha E.;31285;41327;60413
1488;no name;31286;41328;60414
1489;no name;31287;41329;60415
1490;no name;31288;41330;60416
1491;Thompson, Vincent Bakpetu;31289;41331;0
1492;Campbell, Mavis;31289;41332;0
1493;Price, Richard;31290;41333;0
